head,time,article
图|穆雷观战ATP年终总决赛 心情大好捂嘴偷笑,2018年11月15日 06:13,　　北京时间11月15日消息，2018年ATP年终总决赛在伦敦O2体育馆继续进行，在库尔腾组的比赛中，两位首轮失利选手伊斯内尔和西里奇狭路相逢，而英国名将穆雷也出现在了场边，观战两人的表现。　　穆雷由于伤病，2018赛季断断续续，在深圳赛出局之后，他顺势提前结束了赛季，继续安心养伤，之前一段时间，穆雷一直在美国进行康复和训练，还分享了一些自己训练的小视频，引起了社交媒体的热议。　　近日，穆雷回到了英国伦敦，今晚就出现在了总决赛场边的观赛阵营之中，他也是看的津津有味，不时与旁边的前教练丹尼交流，不时为场上选手鼓掌。也期待穆雷明年能够健康归来，重回总决赛的舞台。　　（rod）
韩国女子名人战回顾：芮乃伟十度夺冠 2016停办,2018年11月15日 07:40,　　“阆中古城杯”首届中国女子围棋名人战即将于本月开战，共32位职业女棋手参与角逐，中国女子棋坛又添盛事。韩国此前也有女子名人战，可惜于2016年停办了，否则举行一次中日韩三国女子名人赛也是极好的。　　韩国女子围棋名人战创办于1999年，采用挑战制，2000年产生首届冠军，当时身为韩国女子围棋希望之星的朴志恩在决赛中2比1击败李英信夺冠。　　但是随着芮乃伟旋风登陆韩国，韩国的女子棋战几乎成为她一个人的后花园。第二届赛事，芮乃伟2比1挑落朴志恩，第三届2比0轻取玄味真，霸气纵横。　　韩国女子名人战自第四期起，成为赵惠连挑战芮乃伟霸权的舞台。除了第八届是芮乃伟2比0击败李多慧，两人九年内八次在这个挑战舞台上相遇。其中第五届赵惠连奋勇2比0擒下芮乃伟，获得自己唯一一个女子名人头衔，其他七届都是芮乃伟胜出。芮乃伟自第六届到第十二届达成女子名人七连霸，总共十次加冕，令韩国女棋手深感绝望。　　直到2011年底，芮乃伟回归中国，将韩国女子名人头衔交还给韩国棋院，韩国女棋手才等来出头之日。第13届韩国女子名人战，崔精在决赛中2比0击败金美里，接过芮乃伟的权杖，开始新的统治。　　此后崔精各连续两次击退朴志娟、吴侑珍的挑战，达成女子名人五连霸，她也迅速成长为韩国女子围棋新的领军人物。　　2016年第17届韩国女子名人战结束后，随着韩国国内棋战大面积停办，这项赛事也暂时没了下文。　　日韩女子名人战历史上都有大数字连霸的纪录，也催生了各自国内的女子代表棋手。期待新创办的“阆中古城杯”中国女子围棋名人战能够成为具有同样影响力和历史地位的赛事。　　届 时间 冠军 比分 亚军（段位为棋手当时）　　01 1999-2000 朴志恩二段 2：1 李英信二段　　02 2000-2001 芮乃伟九段 2：1 朴志恩三段　　03 2001-2002 芮乃伟九段 2：0 玄味真二段　　04 2002-2003 芮乃伟九段 2：0 赵惠连三段　　05 2003-2004 赵惠连四段 2：0 芮乃伟九段　　06 2004-2005 芮乃伟九段 2：0 赵惠连五段　　07 2005-2006 芮乃伟九段 2：1 赵惠连六段　　08 2006-2007 芮乃伟九段 2：0 李多慧三段　　09 2007-2008 芮乃伟九段 2：0 赵惠连八段　　10 2008-2009 芮乃伟九段 2：1 赵惠连八段　　11 2009-2010 芮乃伟九段 2：1 赵惠连八段　　12 2010-2011 芮乃伟九段 2：1 赵惠连九段　　13 2011-2012 崔精初段 2：0 金美里二段　　14 2012-2013 崔精三段 2：1 朴志娟三段　　15 2013-2014 崔精五段 2：1 朴志娟三段　　16 2014-2015 崔精五段 2：0 吴侑珍二段　　17 2015-2016 崔精六段 2：0 吴侑珍二段　　（燕飞）
娜扎姐姐发文疑怒斥妹妹前男友：人在做天在看！,2018年11月15日 18:48,　　新浪娱乐讯 11月15日，古力娜扎姐姐在微博发文，疑怒斥妹妹前男友，称：“可我相信人在做天在看，总有一天你会为你做的一切付出代价的！”　　11月15日，娜扎姐姐在微博发文，称：“作为一个人，用卑鄙的手段，想的给别人的伤口上撒盐，让别人掉眼泪，受伤，想用这种手段逼死那个人，你就满意了吗？如果满意了你就继续看别人的笑话，你就趁这个机会好好地笑吧。”并疑似喊话娜扎前男友，称：“我相信人在做天在看，总有一天你会为你做的一切付出代价的！我相信哭的那个人也不会一直都会哭，托你的福，他会越来越强大。越来越懂事，越来越成熟，因为他没有做伤天害理的事情。”　　据悉，近日有网友曝出一段视频，视频中疑似娜扎与一名男性在一起，关系亲密。11月14日，娜扎“撒娇视频”男主发文回应风波：“视频是我发的，四年前发的。现在还能被挖出来，自媒体们你们真的可以。”15日，娜扎方发布律师声明，表示将依法追责网络暴力。
张檬发文回应整容争议：永远活不成别人眼中样子,2018年11月15日 23:49,　　新浪娱乐讯 11月15日晚，张檬发文谈整容争议，称：“你永远活不成别人眼中的样子，你怎么都是错，与其这样，不如先学会取悦自己吧。”　　15日晚，张檬发文谈整容所带来的各种争议，称：“看着各种评论转发，比如 ‘可惜了可惜了，之前多美啊，干嘛整容啊’ 。那么，我没整之前的评论呢？比如 ‘赶紧去整容吧，你太丑了！’所以啊，你永远活不成别人眼中的样子，你怎么都是错，与其这样，不如先学会取悦自己吧，毕竟人生短短几十年，对吧？”　　粉丝留言：“张檬姐姐要开心哦，不管别人怎么说，做好自己！”
马蓉喊话王宝强“是男人就出来说话”:今晚八点见,2018年11月15日 17:08,　　新浪娱乐讯 距离王宝强马蓉事件已过去两年多的时间，风波却从未止歇。11月15日下午马蓉在微博发出长文，直接将矛头对准了王宝强：“别怂在后面干一些偷鸡摸狗的事！整‘知情人爆料’恶心人，找一些媒体配合你装疯卖傻装可怜表演，是个男人就出来说话，发微博，接受采访，都可以，你敢吗？”她还宣称：“真相不出，谣言不停，今晚八点见！”似乎意指自己还将有动作。　　此前王宝强马蓉离婚案宣判，王宝强马蓉儿子归爸爸抚养，女儿归妈妈抚养。关于财产方面，则是没有消息公开。宋喆因职务侵占罪被判刑六年。今年6月份，马蓉独家对话新浪娱乐，声泪俱下讲述离婚始末，自称无辜。11月15日下午马蓉在微博发出了一篇长文，再次将矛头对准了王宝强。　　马蓉发出王宝强图片，称“谣言止于智者，智者一直在，谣言却未停”。她炮轰王宝强喜欢炒作，她还列出一些新闻标题：“马蓉新男友曝光”“马蓉离婚案结束返还所有财产净身出户”“王宝强即将结婚，马蓉喊话”“王宝强晒出亲子鉴定，儿子身世真相大白”。“两年多了，没完没了，我不混娱乐圈，不需要热度，我和你是离婚这件事的唯一当事人，别怂在后面干一些偷鸡摸狗的事！”　　最后，马蓉称：“整‘知情人爆料’恶心人，找一些媒体配合你装疯卖傻装可怜表演，是个男人就出来说话，发微博，接受采访，都可以，你敢吗？真相不出，谣言不停，今晚八点见！”似乎意指今晚八点她还将有新动作。（叶子/文）(责编：Blue)
王海燕晒与老公张嘉译合照感情好 辟谣离婚传闻,2018年11月15日 19:26,　　新浪娱乐讯 11月15日，王海燕在微博晒出与老公张嘉译的合照，辟谣二人离婚传闻。　　11月15日，王海燕罕见在微博晒出与丈夫张嘉译恩爱合照：“这一条是我自己发的，四年没有用微博了，问候您冬安！”辟谣离婚传闻。　　据悉，此前曾有传言称王海燕于11月8日微博发文称“多年婚姻一团散沙”，疑似透露二人已离婚，并引起网友热议。
亚泰官微发告球迷书：不会抛售球员 2019杀回中超,2018年11月15日 20:13,　　2018赛季中超联赛已经结束，长春亚泰不幸降级。但亚泰队斗志满满，今日通过官微发布告球迷书。表示2019年，有信心杀回顶级联赛。
"马蓉否认出轨揭王宝强""借钱""谎言 斥其""贼喊捉贼""",2018年11月15日 20:34,　　新浪娱乐讯 11月15日晚，马蓉在微博晒出王宝强银行账户存款余额，力证王宝强当年“借钱缴费”办离婚的事实真相，揭其并非传闻中所讲“银行卡余额不足”。她连发几条微博，称“天下无贼，贼喊捉贼 ”，指责王宝强霸占夫妻共同名下的所有房子，并否认所有银行卡和公司控制权都在自己这里的传闻。　　2016年王宝强起诉离婚当天，王宝强工作室曾在微博发表“立案声明”，声明中称其“与马蓉离婚纠纷案已正式立案”，并强调其是“借款交费”，一度引发网友的热烈讨论。　　如今马蓉在微博晒出中当时王宝强银行账户存款余额，并称：“2016年8月15日，王宝强起诉离婚当天，银行卡余额2093220.1，8月16日问陈思成借款300万，账面显示5093220.11，王宝强表妹任晓妍名下有多少家公司，身价也是过亿，需要王宝强表演借钱缴费？”同时还在微博下回复网友评论，坚称自己“没有出轨”。　　她还连发几条微博，称“天下无贼，贼喊捉贼 ”：　　一、霸占我们夫妻共同名下的所有房子，换锁控制，将原出租屋的租户驱赶出户，然后对外发布我换了密码不让他回家，没有换洗衣物。当时衣服都是郭斌王楠给买的。实际上自己每天都回家住。我和一双儿女，无家可归，无一件换洗衣物。　　二、称自己所有银行卡都在我控制下，当时的知情人爆料，说王宝强连自己有多少张银行卡都不知道，这样的话也有人信，我就问问你们，谁上银行开银行卡不是本人带着自己身份证去，难不成，我马蓉去银行可以办出王宝强的卡？王宝强你自己去哪开过什么卡，你不知道？连基本生活常识都没有了？　　三、王宝强工作室登报，说工作室公章遗失，所有手续全部重新办理，目的何在？知情人又爆料了，说公章在我手里，所有公司的控制权都在我这里，日常通稿说我就是一个家庭主妇，什么都不会做，钱都是王宝强挣得，我吃你的，喝你的，这个时候赋予我这么大的权利，意图何在？我不管你们打算陷害我什么，你的东西我没碰过！从银行流水可以看出，工作室所有的东西一直在王宝强控制下，并且频繁的与王宝强个人账户有往来！　　四、王宝强，你在公证处委托我办的那些事，你怎么现在都不认账了？！怎么反过来都变成是我自己干的呢？！委托我又是卖房子又是办证件的，怎么，公证书你都不认了？你这倒打一耙的本事？真是修炼成了精了！ （叶子/文）(责编：Mia)
言承旭日本认爱？林志玲尴尬回应：好像不是我,2018年11月15日 23:31,　　新浪娱乐讯 据台湾媒体报道，林志玲15日出席澳门圣诞点灯活动，被问到言承旭上个月在日本写真书发布会上突然“认爱”，疑似隔空喊话林志玲，让林志玲本尊一度笑得尴尬，用粤语回应“好像不是我”。　　据港媒报道，林志玲听到这问题，一度尴尬傻笑，并用粤语回应“好像不是我”，接着又以国语祝福并恭喜言承旭。虽然林志玲今年恐怕也要单身过圣诞，但她看得很开，笑称现在很享受一个人生活，可以有独处的时间，同时也期待两个人相处的时候，但强求不来，要看缘份。(责编：Mia)
"香港资深娱记曝蓝洁瑛""未遭性侵"" 但未拿更多证据",2018年11月15日 19:22,　　新浪娱乐讯 一代花旦蓝洁瑛的离世令人唏嘘。今日（11月15日），蓝洁瑛火化出殡，在此一天前，微博名为“香港朱皮“的前香港资深娱乐记者朱其瑞在微博发表长文，透露了他与蓝洁瑛20年的故事及蓝洁瑛的生前内幕，并称20年来未曾听蓝洁瑛说过被性侵一事，他还称蓝洁瑛视频中的两位嫌疑人（邓光荣、曾志伟）是遭人算计。新浪娱乐随后独家求证朱其瑞，对方再次表达文中说法，并称：“如果真有性侵，香港警方早就立案调查了。”不过，朱其瑞也并未就他的言论拿出更多证据。　　11月3日凌晨，年仅55岁的蓝洁瑛被发现在在住所去世，曾志伟和已经去世的邓光荣“性侵蓝洁瑛”的传闻再次发酵起来。甚至在蓝洁瑛追悼会上还有人剑指曾志伟，拉出横条写着“大佬出来谢罪”。　　11月14日，微博“香港朱皮“发表长文，透露了他与蓝洁瑛20年的故事及蓝洁瑛的生前内幕，并称20年来未曾听蓝洁瑛说过被性侵一事，他还称蓝洁瑛视频中的两位嫌疑人（邓光荣、曾志伟）是遭人算计，报道此事的卓伟只是被人利用卷入其中。据悉，“香港朱皮“是香港东方日报前资深娛乐记者朱其瑞。　　新浪娱乐随后独家连线朱其瑞，他表示自己微博中所指出的蓝洁瑛部分粉丝不接受她的精神问题，阻拦她与外界接触的说法属实。他还称，刘德华、张曼玉、梁家辉等蓝洁瑛曾经的同行、朋友，组成了”十人小组“，这些年一直在帮助蓝洁瑛，但是怕被指炒作而不敢公开。　　至于性侵一事，朱其瑞表示20年来自己从未听说过蓝洁瑛谈及此事，并称：“如果真有性侵，香港警方早就立案调查了。”不过，朱其瑞也并未就他的言论拿出更多证据。（叶子/文）(责编：Mia)
